,J0014010,J0144010,J3014330,J3204020,J3205710,J3213020,J3403010
1959,,,,,,,
1960,,,,,,,
1961,,,,,,,
1962,,,,,,,
1963,,,,,,,
1964,,,,,,,
1965,,,,,,,
1966,,,,,,,
1967,,,,,,,
1968,,,,,,,
1969,,,,,,,
1970,0.6093989405305897,0.601044795877794,,,,,
1971,,,,,,,
1972,,,,,,,
1973,,,,,,,
1974,,,,,0.47211647738761703,,
1975,,,,,,,
1976,,,,,,,
1977,0.4677493483220616,0.46181510456988717,,,0.6538238589117924,0.5483858636593403,0.5636982542884222
1978,,,,,0.4805913331689315,,
1979,,,,,,,
1980,,,,,,,
1981,0.4648995447955616,0.46441353129583096,,,,,
1982,,,,,,,
1983,,,,,,,
1984,,,,,,,
1985,,,,,,,
1986,,,,,,,
1987,,,,,,,
1988,,,,,,,
1989,0.4639217914108199,,,,,,
1990,,,,,0.5047448291889761,0.47186767571395827,
1991,,,,,,,
1992,,,,,,,
1993,,,,,,,
1994,,0.5124899689358151,,,0.4733919570814024,0.4712080118682847,0.46545178102245166
1995,0.5775410919885037,0.5928346838830972,,,0.5356287760331,0.6369501277161324,0.6024981910716243
1996,,,,,0.46156892943289396,,0.49281100270931266
1997,,,,,,,
1998,,,,,,,
1999,,,,,,,
2000,,,,,,,
2001,,,,,,,
2002,,,,,,,
2003,,,,,,,
2004,,,,,,,
2005,,,,,,,
2006,,,,,,,
2007,,,,,,,
2008,,,,,,,
2009,,,,,,,
2010,,,,,,,
2011,,,,,,,
2012,,,,,,,
2013,,,,,,,
2014,0.48429362989908675,0.5137871286573886,0.5309380335418634,0.5175674025917951,0.5363287503640993,0.46692184144584287,
2015,,,,,,,
2016,,,0.5561055697198323,0.5921570186489443,0.6444828449814588,0.5974754216081479,0.5382274139574759
2017,,,,,,,
2018,,,,,,,
2019,,,,,,,
2020,0.5086123798407928,,,,0.5019991824181409,,
2021,,,,,,,
2022,,,,,,,
2023,,,,,,,
2024,,,,,,,
