t,Q
1958-08-01,0.0
1958-08-02,0.0
1958-08-03,0.0
1958-08-04,0.0
1958-08-05,0.0
1958-08-06,0.0
1958-08-07,0.0
1958-08-08,7.233796296296296e-11
1958-08-09,1.4467592592592592e-10
1958-08-10,3.616898148148148e-11
1958-08-11,0.0
1958-08-12,0.0
1958-08-13,0.0
1958-08-14,0.0
1958-08-15,0.0
1958-08-16,0.0
1958-08-17,0.0
1958-08-18,0.0
1958-08-19,8.318865740740743e-10
1958-08-20,3.833912037037038e-09
1958-08-21,1.5190972222222227e-09
1958-08-22,7.957175925925928e-10
1958-08-23,6.510416666666668e-10
1958-08-24,2.1701388888888887e-09
1958-08-25,9.40393518518519e-10
1958-08-26,8.318865740740744e-10
1958-08-27,7.957175925925928e-10
1958-08-28,7.957175925925928e-10
1958-08-29,7.957175925925928e-10
1958-08-30,7.957175925925928e-10
1958-08-31,7.957175925925928e-10
1958-09-01,7.957175925925928e-10
1958-09-02,7.957175925925928e-10
1958-09-03,7.957175925925928e-10
1958-09-04,7.957175925925928e-10
1958-09-05,7.957175925925928e-10
1958-09-06,7.957175925925928e-10
1958-09-07,7.957175925925928e-10
1958-09-08,7.957175925925928e-10
1958-09-09,7.957175925925928e-10
1958-09-10,7.957175925925928e-10
1958-09-11,7.957175925925928e-10
1958-09-12,7.957175925925928e-10
1958-09-13,7.957175925925928e-10
1958-09-14,7.957175925925928e-10
1958-09-15,7.957175925925928e-10
1958-09-16,7.957175925925928e-10
1958-09-17,7.957175925925928e-10
1958-09-18,7.595486111111113e-10
1958-09-19,7.957175925925928e-10
1958-09-20,1.012731481481482e-09
1958-09-21,1.157407407407408e-09
1958-09-22,1.157407407407408e-09
1958-09-23,1.012731481481482e-09
1958-09-24,1.0489004629629636e-09
1958-09-25,8.318865740740743e-10
1958-09-26,7.957175925925928e-10
1958-09-27,7.957175925925928e-10
1958-09-28,8.680555555555561e-10
1958-09-29,1.5552662037037043e-09
1958-09-30,1.9169560185185183e-09
1958-10-01,1.989293981481482e-09
1958-10-02,2.531828703703703e-09
1958-10-03,4.521122685185185e-09
1958-10-04,4.882812500000001e-09
1958-10-05,5.533854166666665e-09
1958-10-06,5.642361111111109e-09
1958-10-07,5.895543981481479e-09
1958-10-08,6.438078703703702e-09
1958-10-09,6.944444444444442e-09
1958-10-10,7.342303240740738e-09
1958-10-11,7.63165509259259e-09
1958-10-12,8.427372685185185e-09
1958-10-13,9.295428240740737e-09
1958-10-14,1.1320891203703707e-08
1958-10-15,1.171875e-08
1958-10-16,1.1827256944444446e-08
1958-10-17,1.1610243055555557e-08
1958-10-18,1.1031539351851853e-08
1958-10-19,1.0525173611111111e-08
1958-10-20,1.009114583333333e-08
1958-10-21,9.801793981481479e-09
1958-10-22,9.259259259259259e-09
1958-10-23,8.825231481481481e-09
1958-10-24,8.463541666666666e-09
1958-10-25,8.029513888888888e-09
1958-10-26,7.667824074074073e-09
1958-10-27,7.19762731481481e-09
1958-10-28,6.799768518518516e-09
1958-10-29,6.438078703703702e-09
1958-10-30,6.112557870370368e-09
1958-10-31,5.93171296296296e-09
1958-11-01,5.895543981481479e-09
1958-11-02,6.0402199074074045e-09
1958-11-03,6.5465856481481445e-09
1958-11-04,6.94444444444444e-09
1958-11-05,7.3423032407407375e-09
1958-11-06,8.029513888888887e-09
1958-11-07,9.476273148148148e-09
1958-11-08,1.0561342592592592e-08
1958-11-09,1.1574074074074074e-08
1958-11-10,1.2586805555555557e-08
1958-11-11,1.2984664351851852e-08
1958-11-12,1.3780381944444442e-08
1958-11-13,1.4395254629629632e-08
1958-11-14,1.479311342592593e-08
1958-11-15,1.4793113425925928e-08
