,J0014010,J0144010,J3014330,J3204020,J3205710,J3213020,J3403010
1959,,,,,,,
1960,,,,,,,
1961,,,,,,,
1962,,,,,,,
1963,,,,,,,
1964,,,,,,,
1965,,,,,,,
1966,,,,,,,
1967,,,,,,,
1968,,,,,,,
1969,,,,,,,
1970,0.49956866399978916,0.5038412880413773,,,0.4323247659670469,0.41921403219320363,
1971,,,,,,,
1972,0.3843370918891214,0.4135096488771121,,,0.41309582382183074,0.40051932449251193,
1973,,,,,,,
1974,,,,,0.38774987622306534,,
1975,0.4676169077662192,0.46380384966647803,,,0.38098066460841695,,
1976,,,,,,,
1977,0.4394000269051598,0.39185444372790135,,,0.48770488585696337,0.4942901910306893,
1978,,0.39279431608842263,,,,0.3768504964538991,
1979,0.4312349820507613,0.4176309138986981,,,0.4993856964400586,0.48539098387469837,0.3952408946942332
1980,,0.3767363496129885,,,,,
1981,,0.42446900839248813,,,0.410332925586061,0.3918936924316833,
1982,0.41837269195995785,0.3971714641335682,,,0.41104506193743096,0.43327045236582795,
1983,,,,,,,
1984,,,,,,,
1985,0.37667038590919055,,,,,,
1986,,,,,,,
1987,,,,,,,
1988,,,,,,,
1989,0.39811371161684783,0.41190220785424514,,,0.4618717504362231,0.4325320635832377,
1990,,,,,,,
1991,,,,,,,
1992,,,,,,,
1993,,,,,,,
1994,0.4417148651482411,0.41195043829774247,,,,,
1995,0.41264356720096207,0.4240493766428279,,,0.38591780756867156,0.39366092170316996,0.39338134621692156
1996,,,,,,,
1997,,,,,,,
1998,,,,,,,
1999,0.45945108017449443,0.4426032522196326,,,0.3941971644921202,,
2000,0.3962470749956405,,,,,,
2001,,,,,,,
2002,,,,,,,
2003,,,,,,,
2004,,,,,,,
2005,,,,,,,
2006,0.3760513765149747,0.39820535070880586,,,,,
2007,0.37967109134893906,,0.388224137155022,,0.3797921171511889,0.380772239497449,
2008,0.5361596026970429,0.5138894499098622,,,0.3764245814109204,,0.45202286117989376
2009,,,,,,,
2010,,,,,0.3932475617332397,0.39063203420777526,
2011,,,,,,,
2012,,,,,,,
2013,,,,,0.38075871796887,,
2014,0.464786916869561,0.47063367387833144,0.40385809544899004,0.4156521228952047,0.41010764501968583,0.41597145366865773,
2015,0.3754116809172806,0.386397869475986,,,,,
2016,,,0.4334850070008295,0.4645845688848419,0.48259106145026337,0.4603044272158152,
2017,,,,,,,
2018,0.37870425682112197,0.4069918785378902,0.49344281117632316,0.4916776503192203,0.5069262494506304,0.49739375893321836,0.4028224873502706
2019,,,,,,0.4004440498055945,
2020,0.38420677854294794,0.45614326221412216,0.42599230445062974,0.41363487336022947,0.39987438514630746,,
2021,,,,,,,
2022,,,,,,,
2023,,,0.408070506997946,0.4059520395720156,0.39872169803378127,0.39504320615072286,
2024,,,,,,,
