t,Q
1969-10-22,1.5595283377710158e-09
1969-10-23,1.464435146443515e-09
1969-10-24,1.5595283377710158e-09
1969-10-25,1.464435146443515e-09
1969-10-26,1.5595283377710158e-09
1969-10-27,1.6546215290985167e-09
1969-10-28,1.5595283377710158e-09
1969-10-29,1.5595283377710158e-09
1969-10-30,1.464435146443515e-09
1969-10-31,1.464435146443515e-09
1969-11-01,1.5595283377710158e-09
1969-11-02,1.464435146443515e-09
1969-11-03,1.6546215290985167e-09
1969-11-04,1.5595283377710158e-09
1969-11-05,1.464435146443515e-09
1969-11-06,1.464435146443515e-09
1969-11-07,3.8037276531000386e-09
1969-11-08,4.1270445036135414e-09
1969-11-09,4.450361354127045e-09
1969-11-10,4.754659566375048e-09
1969-11-11,2.6626093571700267e-09
1969-11-12,4.1270445036135414e-09
1969-11-13,4.1270445036135414e-09
1969-11-14,4.1270445036135414e-09
1969-11-15,7.189045264359072e-09
1969-11-16,6.276150627615063e-09
1969-11-17,1.2171928489920124e-08
1969-11-18,1.293267402054013e-08
1969-11-19,7.721567135793077e-09
1969-11-20,5.89577786230506e-09
1969-11-21,8.786610878661089e-09
1969-11-22,1.4549258273107648e-08
1969-11-23,1.3503233168505136e-08
1969-11-24,2.4534043362495248e-08
1969-11-25,1.778242677824268e-08
1969-11-26,1.4549258273107648e-08
1969-11-27,1.2171928489920124e-08
1969-11-28,1.293267402054013e-08
1969-11-29,1.293267402054013e-08
1969-11-30,1.0079878280715102e-08
1969-12-01,8.786610878661089e-09
1969-12-02,8.786610878661089e-09
1969-12-03,1.6736401673640172e-08
1969-12-04,1.8352985926207685e-08
1969-12-05,1.4549258273107648e-08
1969-12-06,1.6260935717002665e-08
1969-12-07,1.6260935717002665e-08
1969-12-08,1.4549258273107648e-08
1969-12-09,1.3503233168505136e-08
1969-12-10,1.293267402054013e-08
1969-12-11,1.2171928489920124e-08
1969-12-12,1.3503233168505136e-08
1969-12-13,1.293267402054013e-08
1969-12-14,1.5119817421072655e-08
1969-12-15,2.9098516546215297e-08
1969-12-16,2.4534043362495248e-08
1969-12-17,2.4534043362495248e-08
1969-12-18,2.9098516546215297e-08
1969-12-19,2.96690756941803e-08
1969-12-20,3.879802206162039e-08
1969-12-21,3.4804108025865355e-08
1969-12-22,4.012932674020541e-08
1969-12-23,4.1841004184100426e-08
1969-12-24,3.613541270445037e-08
1969-12-25,3.9368581209585394e-08
1969-12-26,3.4804108025865355e-08
1969-12-27,3.100038037276531e-08
1969-12-28,2.852795739825029e-08
1969-12-29,2.586534804108026e-08
1969-12-30,2.4534043362495248e-08
1969-12-31,2.2441993153290227e-08
1970-01-01,2.0349942944085203e-08
1970-01-02,1.8828451882845192e-08
1970-01-03,1.7306960821605175e-08
1970-01-04,1.7306960821605175e-08
1970-01-05,1.5024724229745152e-08
1970-01-06,1.283758082921263e-08
1970-01-07,1.0079878280715102e-08
1970-01-08,1.074553062000761e-08
1970-01-09,1.6546215290985166e-08
1970-01-10,1.4263978699125145e-08
1970-01-11,1.5024724229745152e-08
1970-01-12,1.578546976036516e-08
1970-01-13,1.4263978699125145e-08
1970-01-14,2.681627995435527e-08
1970-01-15,3.1951312286040326e-08
1970-01-16,2.776721186763028e-08
1970-01-17,2.6055534423735262e-08
1970-01-18,2.776721186763028e-08
1970-01-19,2.358311144922024e-08
1970-01-20,2.187143400532522e-08
1970-01-21,2.1110688474705212e-08
1970-01-22,2.358311144922024e-08
1970-01-23,2.358311144922024e-08
1970-01-24,2.187143400532522e-08
1970-01-25,2.776721186763028e-08
1970-01-26,2.5294788893115256e-08
1970-01-27,2.1110688474705212e-08
1970-01-28,2.187143400532522e-08
1970-01-29,4.0699885888170406e-08
1970-01-30,5.629516926588057e-08
1970-01-31,4.507417268923545e-08
1970-02-01,4.583491821985547e-08
1970-02-02,4.4123240775960445e-08
1970-02-03,4.0699885888170406e-08
1970-02-04,4.7736782046405483e-08
1970-02-05,5.743628756181058e-08
1970-02-06,5.306200076074553e-08
1970-02-07,4.7736782046405483e-08
1970-02-08,4.583491821985547e-08
1970-02-09,4.3362495245340437e-08
1970-02-10,4.583491821985547e-08
1970-02-11,6.504374286801066e-08
1970-02-12,6.94180296690757e-08
1970-02-13,7.797641688855079e-08
1970-02-14,8.558387219475087e-08
1970-02-15,7.379231647014074e-08
1970-02-16,6.295169265880564e-08
1970-02-17,7.055914796500572e-08
1970-02-18,6.181057436287562e-08
1970-02-19,5.743628756181058e-08
1970-02-20,5.515405096995056e-08
1970-02-21,4.9828832255610504e-08
1970-02-22,5.838721947508559e-08
1970-02-23,6.94180296690757e-08
1970-02-24,6.295169265880564e-08
1970-02-25,5.9528337771015605e-08
1970-02-26,5.838721947508559e-08
1970-02-27,4.887790034233549e-08
1970-02-28,4.3362495245340437e-08
1970-03-01,3.8988208444275397e-08
1970-03-02,3.6515785469760365e-08
1970-03-03,3.4233548877900345e-08
1970-03-04,3.575503993914036e-08
1970-03-05,3.4233548877900345e-08
1970-03-06,2.8147584632940286e-08
1970-03-07,2.7386839102320277e-08
1970-03-08,2.96690756941803e-08
1970-03-09,3.4233548877900345e-08
1970-03-10,2.681627995435527e-08
1970-03-11,2.5294788893115256e-08
1970-03-12,3.271205781666033e-08
1970-03-13,2.96690756941803e-08
1970-03-14,2.681627995435527e-08
1970-03-15,2.4534043362495248e-08
1970-03-16,2.3202738683910232e-08
1970-03-17,2.2441993153290227e-08
1970-03-18,2.681627995435527e-08
1970-03-19,2.3202738683910232e-08
1970-03-20,2.0349942944085203e-08
1970-03-21,1.901863826550019e-08
1970-03-22,1.8448079117535185e-08
1970-03-23,1.768733358691518e-08
1970-03-24,2.2441993153290227e-08
1970-03-25,3.4233548877900345e-08
1970-03-26,2.3202738683910232e-08
1970-03-27,2.0349942944085203e-08
1970-03-28,1.97793837961202e-08
1970-03-29,1.901863826550019e-08
1970-03-30,1.8448079117535185e-08
1970-03-31,2.3202738683910232e-08
1970-04-01,2.377329783187524e-08
1970-04-02,2.1681247622670218e-08
1970-04-03,1.901863826550019e-08
1970-04-04,1.8448079117535185e-08
1970-04-05,1.702168124762267e-08
1970-04-06,1.768733358691518e-08
1970-04-07,1.768733358691518e-08
1970-04-08,1.6356028908330164e-08
1970-04-09,1.6356028908330164e-08
1970-04-10,1.702168124762267e-08
1970-04-11,1.8448079117535185e-08
1970-04-12,2.1110688474705212e-08
1970-04-13,2.0349942944085203e-08
1970-04-14,1.6356028908330164e-08
1970-04-15,1.5690376569037658e-08
1970-04-16,1.5119817421072655e-08
1970-04-17,1.4454165081780146e-08
1970-04-18,1.4454165081780146e-08
1970-04-19,1.388360593381514e-08
1970-04-20,1.3217953594522635e-08
1970-04-21,1.4454165081780146e-08
1970-04-22,1.388360593381514e-08
1970-04-23,1.4454165081780146e-08
1970-04-24,1.4454165081780146e-08
1970-04-25,1.4454165081780146e-08
1970-04-26,1.5119817421072655e-08
1970-04-27,1.2552301255230125e-08
1970-04-28,1.074553062000761e-08
1970-04-29,1.074553062000761e-08
1970-04-30,1.074553062000761e-08
1970-05-01,1.0079878280715102e-08
1970-05-02,9.509319132750096e-09
1970-05-03,9.014834537847092e-09
1970-05-04,8.482312666413085e-09
1970-05-05,7.94979079497908e-09
1970-05-06,7.417268923545075e-09
1970-05-07,7.94979079497908e-09
1970-05-08,9.509319132750096e-09
1970-05-09,8.482312666413085e-09
1970-05-10,7.94979079497908e-09
1970-05-11,7.417268923545075e-09
1970-05-12,6.789653860783569e-09
1970-05-13,9.014834537847092e-09
1970-05-14,7.417268923545075e-09
1970-05-15,7.417268923545075e-09
1970-05-16,6.789653860783569e-09
1970-05-17,6.162038798022063e-09
1970-05-18,4.9068086724990495e-09
1970-05-19,4.279193609737543e-09
1970-05-20,3.898820844427539e-09
1970-05-21,3.898820844427539e-09
1970-05-22,3.898820844427539e-09
1970-05-23,3.5184480791175357e-09
1970-05-24,3.5184480791175357e-09
1970-05-25,3.5184480791175357e-09
1970-05-26,3.5184480791175357e-09
1970-05-27,3.1380753138075314e-09
1970-05-28,3.1380753138075314e-09
1970-05-29,2.757702548497528e-09
1970-05-30,2.757702548497528e-09
1970-05-31,2.757702548497528e-09
1970-06-01,2.8908330163560294e-09
1970-06-02,2.567516165842526e-09
1970-06-03,2.567516165842526e-09
1970-06-04,2.567516165842526e-09
1970-06-05,2.3392925066565235e-09
1970-06-06,2.3392925066565235e-09
1970-06-07,2.3392925066565235e-09
1970-06-08,2.567516165842526e-09
1970-06-09,2.8908330163560294e-09
