t,Q
2009-01-29,4.315010570824524e-08
2009-01-30,1.8276955602536997e-08
2009-01-31,1.1374207188160678e-08
2009-02-01,4.7145877378435515e-09
2009-02-02,4.260042283298098e-09
2009-02-03,4.006342494714588e-09
2009-02-04,4.154334038054969e-09
2009-02-05,1.449260042283298e-08
2009-02-06,9.788583509513742e-09
2009-02-07,8.847780126849894e-09
2009-02-08,6.353065539112051e-09
2009-02-09,3.1078224101479915e-08
2009-02-10,8.445031712473573e-08
2009-02-11,1.4693446088794925e-08
2009-02-12,6.120507399577167e-09
2009-02-13,5.116279069767442e-09
2009-02-14,4.228329809725159e-09
2009-02-15,4.0697674418604655e-09
2009-02-16,3.9217758985200846e-09
2009-02-17,3.805496828752643e-09
2009-02-18,3.646934460887949e-09
2009-02-19,3.604651162790698e-09
2009-02-20,3.4460887949260043e-09
2009-02-21,3.3826638477801268e-09
2009-02-22,3.3298097251585623e-09
2009-02-23,3.2663847780126848e-09
2009-02-24,3.2346723044397462e-09
2009-02-25,3.1712473572938687e-09
2009-02-26,3.0761099365750527e-09
2009-02-27,3.0866807610993656e-09
2009-02-28,3.0972515856236786e-09
2009-03-01,3.0549682875264267e-09
2009-03-02,2.970401691331924e-09
2009-03-03,3.0972515856236786e-09
2009-03-04,2.4587737843551798e-08
2009-03-05,6.194503171247357e-09
2009-03-06,5.200845665961945e-09
2009-03-07,4.334038054968287e-09
2009-03-08,4.133192389006343e-09
2009-03-09,3.879492600422833e-09
2009-03-10,3.5517970401691333e-09
2009-03-11,3.4038054968287528e-09
2009-03-12,3.3192389006342493e-09
2009-03-13,3.2346723044397462e-09
2009-03-14,3.150105708245243e-09
2009-03-15,3.0655391120507397e-09
2009-03-16,3.012684989429175e-09
2009-03-17,2.9386892177589855e-09
2009-03-18,2.864693446088795e-09
2009-03-19,2.758985200845666e-09
2009-03-20,2.6955602536997884e-09
2009-03-21,2.653276955602537e-09
2009-03-22,2.6109936575052854e-09
2009-03-23,2.558139534883721e-09
2009-03-24,2.5158562367864693e-09
2009-03-25,2.4841437632135304e-09
2009-03-26,2.463002114164905e-09
2009-03-27,2.4418604651162792e-09
2009-03-28,2.4101479915433403e-09
2009-03-29,2.3890063424947147e-09
2009-03-30,2.3784355179704017e-09
2009-03-31,2.346723044397463e-09
2009-04-01,2.3572938689217758e-09
2009-04-02,2.3890063424947147e-09
2009-04-03,2.4312896405919663e-09
2009-04-04,2.463002114164905e-09
2009-04-05,2.4735729386892178e-09
2009-04-06,2.4841437632135304e-09
2009-04-07,2.4947145877378434e-09
2009-04-08,2.558139534883721e-09
2009-04-09,2.579281183932347e-09
2009-04-10,2.684989429175476e-09
2009-04-11,2.748414376321353e-09
2009-04-12,2.568710359408034e-09
2009-04-13,2.579281183932347e-09
2009-04-14,2.7167019027484144e-09
2009-04-15,3.3086680761099367e-09
2009-04-16,3.7949260042283295e-09
2009-04-17,3.2029598308668077e-09
2009-04-18,2.9492600422832985e-09
2009-04-19,2.8012684989429175e-09
2009-04-20,2.684989429175476e-09
