t,Q
1993-01-01,2.144654540225753e-08
1993-01-02,1.9882090732619166e-08
1993-01-03,1.834351858508879e-08
1993-01-04,1.8891365303041195e-08
1993-01-05,2.1399813070673666e-08
1993-01-06,2.2748580056078798e-08
1993-01-07,2.368322668775613e-08
1993-01-08,2.3165576245596374e-08
1993-01-09,2.199511107915738e-08
1993-01-10,4.207275864548134e-08
1993-01-11,1.2961391904522252e-07
1993-01-12,1.6969588036523116e-07
1993-01-13,1.3943489826730894e-07
1993-01-14,1.1080595298008483e-07
1993-01-15,8.462865770364512e-08
1993-01-16,6.949457185994679e-08
1993-01-17,6.172262563807607e-08
1993-01-18,5.35408728161622e-08
1993-01-19,4.2907469983463944e-08
1993-01-20,3.767344884607089e-08
1993-01-21,3.767344884607089e-08
1993-01-22,3.8083255446114025e-08
1993-01-23,3.5631605435329646e-08
1993-01-24,3.333812639298296e-08
1993-01-25,3.0965561866417425e-08
1993-01-26,2.614134732906751e-08
1993-01-27,2.5242648644762383e-08
1993-01-28,2.711913149759149e-08
1993-01-29,2.6464878855417356e-08
1993-01-30,2.4753756560500395e-08
1993-01-31,2.2496225465525917e-08
1993-02-01,2.1417787044359766e-08
1993-02-02,2.2891652886620173e-08
1993-02-03,2.2208641886548277e-08
1993-02-04,2.073477604428787e-08
1993-02-05,1.794521532820476e-08
1993-02-06,1.60629808037961e-08
1993-02-07,1.4639442087856782e-08
1993-02-08,1.4691926091020201e-08
1993-02-09,1.4712056941548638e-08
1993-02-10,1.4354015385721475e-08
1993-02-11,1.367100438564958e-08
1993-02-12,1.3149759148752605e-08
1993-02-13,1.2712632108706592e-08
1993-02-14,1.2215831476022718e-08
1993-02-15,1.1614062837012007e-08
1993-02-16,1.0873535121144584e-08
1993-02-17,9.32849234308721e-09
1993-02-18,1.0128693651592493e-08
1993-02-19,9.910849090516932e-09
1993-02-20,9.697318283126033e-09
1993-02-21,9.483787475735136e-09
1993-02-22,9.270256668344238e-09
1993-02-23,8.590840463009563e-09
1993-02-24,7.807175210295492e-09
1993-02-25,8.058091882953483e-09
1993-02-26,8.009202674527285e-09
1993-02-27,1.537349917319721e-08
1993-02-28,1.2970738370839025e-08
1993-03-01,1.0682292041124452e-08
1993-03-02,1.3216622330864907e-08
1993-03-03,1.2266877561291252e-08
1993-03-04,1.0422028902149687e-08
1993-03-05,9.464375584154145e-09
1993-03-06,8.774893953555251e-09
1993-03-07,8.08541232295636e-09
1993-03-08,7.61018045869581e-09
1993-03-09,7.74174994607808e-09
1993-03-10,7.3254727155079445e-09
1993-03-11,6.517362858580775e-09
1993-03-12,6.643899633330937e-09
1993-03-13,6.564814149112086e-09
1993-03-14,6.86533898914372e-09
1993-03-15,7.772665180818175e-09
1993-03-16,5.91343734272773e-09
1993-03-17,5.708534042706162e-09
1993-03-18,5.528075346897692e-09
1993-03-19,5.583435185850888e-09
1993-03-20,6.135595657487958e-09
1993-03-21,5.168595873175642e-09
1993-03-22,6.495794090157452e-09
1993-03-23,4.645193759436337e-09
